iter	TotalF1	MultiClass
463	0.9352157045	0.2131506263
464	0.9352387723	0.2130864462
465	0.9352574003	0.2130334637
466	0.9352728584	0.2129115027
467	0.9352784401	0.2128763864
468	0.9352846613	0.2127343009
469	0.9353304851	0.212680389
470	0.9353284428	0.2126225088
471	0.9353374618	0.212560153
472	0.9353325007	0.2125305832
473	0.9353354064	0.2124693843
474	0.9354060042	0.212396601
475	0.9354131629	0.21233235
476	0.9353812894	0.2122793614
477	0.9354311765	0.212178227
478	0.9354380857	0.2121085918
479	0.9354493153	0.2120587265
480	0.9354676297	0.2120082411
481	0.9355200149	0.2119187213
482	0.935537647	0.2118578259
483	0.9355636052	0.2118343149
484	0.9355668984	0.2117695566
485	0.9355717215	0.2117350667
486	0.9355943312	0.2116628545
487	0.9356001865	0.2116217834
488	0.9356027074	0.2116023834
489	0.9356179689	0.2115473021
490	0.9356279093	0.2114855814
491	0.9356340522	0.2114374471
492	0.9356412252	0.2114031664
493	0.9356422276	0.2113701767
494	0.9356272228	0.2113262839
495	0.9356548509	0.2112765302
496	0.9356714013	0.211203499
497	0.9356889552	0.2111269751
498	0.9356862072	0.2110512186
499	0.9357138444	0.2109809841
